Organism_name	Organism_groups	BioProject	Assembly	Size_in_Mb	GC_percent
Pseudomonas_fluorescens	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEB6403	GCA_900475215.1	6.51517	60
Clostridium_perfringens_ATCC_13124	Bacteria;Terrabacteria group;Firmicutes	PRJNA304	GCA_000013285.1	3.25668	28.4
Mycobacterium_avium_subsp._paratuberculosis_K-10	Bacteria;Terrabacteria group;Actinobacteria	PRJNA91	GCA_000007865.1	4.82978	69.3
Tropheryma_whipplei_str._Twist	Bacteria;Terrabacteria group;Actinobacteria	PRJNA95	GCA_000007485.1	0.927303	46.3
Actinobacillus_pleuropneumoniae	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA478521	GCA_003290385.1	2.31866	41.2
Mycobacterium_tuberculosis_H37Rv	Bacteria;Terrabacteria group;Actinobacteria	PRJNA37301	GCA_000277735.2	4.41171	65.6
Chlamydia_pneumoniae_TW-183	Bacteria;PVC group;Chlamydiae	PRJNA420	GCA_000007205.1	1.22593	40.6
Xylella_fastidiosa_9a5c	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA271	GCA_000006725.1	2.73175	52.6433
Agrobacterium_tumefaciens	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA278497	GCA_000971565.1	5.66866	58.4702
Xanthomonas_axonopodis_Xac29-1	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA193074	GCA_000348585.1	5.29652	64.7171
Fusobacterium_nucleatum_subsp._polymorphum	Bacteria;Fusobacteria;Fusobacteriia	PRJEB6403	GCA_001457555.1	2.45506	26.9878
Histophilus_somni_2336	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA388	GCA_000019405.1	2.26386	37.4
Vibrio_vulnificus	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA312018	GCA_002215135.1	5.16313	46.5303
Mycoplasma_hyopneumoniae_J	Bacteria;Terrabacteria group;Tenericutes	PRJNA10675	GCA_000008205.1	0.897405	28.5
Chlorobium_phaeobacteroides_DSM_266	Bacteria;FCB group;Bacteroidetes/Chlorobi group	PRJNA12609	GCA_000015125.1	3.1339	48.4
Paenarthrobacter_aurescens_TC1	Bacteria;Terrabacteria group;Actinobacteria	PRJNA12512	GCA_000014925.1	5.22665	62.3869
Acinetobacter_baumannii	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA577968	GCA_009759685.1	3.99039	39.1892
Anaplasma_marginale_str._Florida	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA16369	GCA_000020305.1	1.20243	49.8
Bacillus_licheniformis_DSM_13_=_ATCC_14580	Bacteria;Terrabacteria group;Firmicutes	PRJNA12388	GCA_000011645.1	4.2226	46.2
Shigella_sonnei_53G	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEA78129	GCA_000283715.1	5.22047	50.7341
Streptococcus_thermophilus	Bacteria;Terrabacteria group;Firmicutes	PRJNA528156	GCA_010120595.1	2.10227	39
Wolbachia_endosymbiont_strain_TRS_of_Brugia_malayi	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA12475	GCA_000008385.1	1.08008	34.2
Synechococcus_elongatus_PCC_6301	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	PRJNA13282	GCA_000010065.1	2.69625	55.5
Shewanella_baltica_OS678	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA47019	GCA_000178875.2	5.36877	46.276
Shewanella_putrefaciens_CN-32	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13393	GCA_000016585.1	4.65922	44.5
Ehrlichia_ruminantium_str._Welgevonden	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA9614	GCA_000026005.1	1.51635	27.5
Lactobacillus_reuteri_DSM_20016	Bacteria;Terrabacteria group;Firmicutes	PRJNA15766	GCA_000016825.1	1.99962	38.9
Bacillus_pumilus	Bacteria;Terrabacteria group;Firmicutes	PRJNA276289	GCA_001578205.1	3.87881	41.4612
Mycoplasma_genitalium_G37	Bacteria;Terrabacteria group;Tenericutes	PRJNA97	GCA_000027325.1	0.580076	31.7
Burkholderia_cenocepacia_J2315	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA339	GCA_000009485.1	8.05578	66.9165
Corynebacterium_jeikeium_K411	Bacteria;Terrabacteria group;Actinobacteria	PRJNA13967	GCA_000006605.1	2.47682	61.3561
Ehrlichia_chaffeensis_str._Arkansas	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA325	GCA_000013145.1	1.17625	30.1
Nitrosococcus_oceani_ATCC_19707	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA13993	GCA_000012805.1	3.52211	50.3241
Ralstonia_solanacearum_GMI1000	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA13	GCA_000009125.1	5.81092	66.964
Shigella_boydii	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA218110	GCA_002946735.1	4.52532	51.1161
Streptococcus_salivarius	Bacteria;Terrabacteria group;Firmicutes	PRJEB6403	GCA_900636435.1	2.20615	40.1
Rhodopseudomonas_palustris_BisB18	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA15750	GCA_000013745.1	5.51384	65
Yersinia_pseudotuberculosis	Bacteria;Proteobacteria;Gammaproteobacteria	PRJEB6403	GCA_900637475.1	4.6102	47.5
Mycoplasma_agalactiae_PG2	Bacteria;Terrabacteria group;Tenericutes	PRJNA16095	GCA_000063605.1	0.877438	29.7
Lactobacillus_delbrueckii_subsp._bulgaricus_ATCC_11842_=_JCM_1002	Bacteria;Terrabacteria group;Firmicutes	PRJNA16871	GCA_000056065.1	1.865	49.7
Leptospira_borgpetersenii_serovar_Hardjo-bovis_str._L550	Bacteria;Spirochaetes;Spirochaetia	PRJNA16146	GCA_000013945.1	3.93178	40.2
Brucella_abortus_2308	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA16203	GCA_000054005.1	3.27831	57.2353
Mycoplasma_capricolum_subsp._capricolum_ATCC_27343	Bacteria;Terrabacteria group;Tenericutes	PRJNA16208	GCA_000012765.1	1.01002	23.8
Bartonella_bacilliformis_KC583	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA16249	GCA_000015445.1	1.44502	38.2
Xanthomonas_citri_subsp._citri_Aw12879	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA81931	GCA_000349225.1	5.39869	64.6642
Campylobacter_fetus_subsp._venerealis_NCTC_10354	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA562219	GCA_008271385.1	1.91362	33.2212
Xanthomonas_oryzae_pv._oryzae_PXO99A	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA28127	GCA_000019585.2	5.23855	63.6
Sodalis_glossinidius_str._'morsitans'	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16309	GCA_000010085.1	4.2925	54.5066
Salinispora_tropica_CNB-440	Bacteria;Terrabacteria group;Actinobacteria	PRJNA16342	GCA_000016425.1	5.18333	69.5
Thermotoga_neapolitana_DSM_4359	Bacteria;Thermotogae;Thermotogae	PRJNA21023	GCA_000018945.1	1.88456	46.9
Clostridioides_difficile	Bacteria;Terrabacteria group;Firmicutes	PRJEB7371	GCA_000953275.1	4.29305	29.1
Roseobacter_denitrificans_OCh_114	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA16426	GCA_000014045.1	4.33123	58.9096
Cupriavidus_pinatubonensis_JMP134	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA10646	GCA_000203875.1	7.25529	64.4539
Desulfitobacterium_hafniense_DCB-2	Bacteria;Terrabacteria group;Firmicutes	PRJNA205	GCA_000021925.1	5.27913	47.5
Aeromonas_salmonicida_subsp._salmonicida_A449	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16723	GCA_000196395.1	5.04054	58.1696
Oenococcus_oeni_PSU-1	Bacteria;Terrabacteria group;Firmicutes	PRJNA317	GCA_000014385.1	1.78052	37.9
Coxiella_burnetii_Dugway_5J108-111	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA16721	GCA_000017105.1	2.21294	42.3363
Lactobacillus_casei_DSM_20011_=_JCM_1134_=_ATCC_393	Bacteria;Terrabacteria group;Firmicutes	PRJDB480	GCA_000829055.1	2.95296	47.8636
Salinispora_arenicola_CNS-205	Bacteria;Terrabacteria group;Actinobacteria	PRJNA17109	GCA_000018265.1	5.78636	69.5
Desulfovibrio_vulgaris_str._'Miyazaki_F'	Bacteria;Proteobacteria;delta/epsilon subdivisions	PRJNA27731	GCA_000021385.1	4.0403	67.1
Delftia_acidovorans_SPH-1	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA17413	GCA_000018665.1	6.76751	66.5
Rickettsia_bellii_RML369-C	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA13996	GCA_000012385.1	1.52208	31.6
Ralstonia_pickettii_12J	Bacteria;Proteobacteria;Betaproteobacteria	PRJNA17631	GCA_000020205.1	5.32573	63.6234
Lactobacillus_helveticus	Bacteria;Terrabacteria group;Firmicutes	PRJNA292623	GCA_001308285.1	2.16058	36.8
Geobacillus_stearothermophilus_10	Bacteria;Terrabacteria group;Firmicutes	PRJNA252389	GCA_001274575.1	3.67649	52.6118
Rickettsia_rickettsii_str._Iowa	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA19943	GCA_000017445.3	1.2682	32.4
Photobacterium_damselae_subsp._damselae	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA385756	GCA_002142615.1	4.54459	40.8845
Borreliella_afzelii_HLJ01	Bacteria;Spirochaetes;Spirochaetia	PRJNA176667	GCA_000304735.1	0.905471	28.3
Bifidobacterium_adolescentis_ATCC_15703	Bacteria;Terrabacteria group;Actinobacteria	PRJNA16321	GCA_000010425.1	2.08964	59.2
Vibrio_harveyi	Bacteria;Proteobacteria;Gammaproteobacteria	PRJNA231221	GCA_001558435.2	6.03893	44.9
Saccharopolyspora_erythraea_NRRL_2338	Bacteria;Terrabacteria group;Actinobacteria	PRJEA18489	GCA_000062885.1	8.2128	71.1
Thermoanaerobacter_ethanolicus_JW_200	Bacteria;Terrabacteria group;Firmicutes	PRJNA498490	GCA_003722315.1	2.91128	34.2
Methylorubrum_extorquens	Bacteria;Proteobacteria;Alphaproteobacteria	PRJEB23178	GCA_900234795.1	5.71551	68.3
Lactococcus_garvieae_ATCC_49156	Bacteria;Terrabacteria group;Firmicutes	PRJDA18705	GCA_000269925.1	1.95013	38.8
Methylobacterium_radiotolerans_JCM_2831	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA18817	GCA_000019725.1	6.89911	71.0375
Orientia_tsutsugamushi_str._Boryong	Bacteria;Proteobacteria;Alphaproteobacteria	PRJNA16180	GCA_000063545.1	2.12705	30.5
Lactobacillus_fermentum_IFO_3956	Bacteria;Terrabacteria group;Firmicutes	PRJDA18979	GCA_000010145.1	2.09869	51.5
Clostridium_kluyveri_DSM_555	Bacteria;Terrabacteria group;Firmicutes	PRJNA19065	GCA_000016505.1	4.0238	32.0206
